,log_date,item_id,food_time,food_type,log_time,energy,protein,carbohydrate,lipid_fat,item_unit,item_quantity,created_by
0,2024-01-10,RP100015,1,recipe,12,251,15.75,3.84,10.87,gm,136,U100015
1,2024-01-04,RP100054,1,recipe,5,126,23.35,11.38,12.97,1 slice,61,U100068
2,2024-01-16,FI100039,1,food_item,6,195,4.2,46.5,35.44,1 medium,196,U100031
3,2024-01-14,RP100088,1,recipe,13,204,16.24,40.59,15.51,1 medium,197,U100026
4,2024-01-11,RP100008,1,recipe,11,191,33.74,30.29,23.39,1 slice,143,U100067
5,2024-01-06,FI100065,1,food_item,9,160,3.91,6.76,4.21,1 medium,71,U100069
6,2024-01-01,RP100014,1,recipe,15,276,29.95,21.1,32.58,1 slice,64,U100062
7,2024-01-20,RP100069,1,recipe,14,296,3.99,25.89,42.72,ml,237,U100011
8,2024-01-06,FI100046,1,food_item,11,184,37.27,38.8,42.83,ml,99,U100027
9,2024-01-20,RP100065,1,recipe,3,142,46.17,24.45,46.37,1 medium,261,U100065
10,2024-01-15,RP100001,1,recipe,6,105,22.05,2.2,29.26,ml,261,U100053
11,2024-01-18,RP100023,1,recipe,15,222,13.76,33.68,32.91,gm,248,U100029
12,2024-01-04,FI100021,1,food_item,12,215,12.51,30.93,39.85,1 slice,19,U100071
13,2024-01-18,FI100035,1,food_item,8,141,32.35,46.94,0.14,1 medium,171,U100027
14,2024-01-20,FI100067,1,food_item,11,292,46.84,24.46,22.6,1 medium,95,U100070
15,2024-01-03,FI100049,1,food_item,10,205,24.25,15.29,13.79,gm,173,U100068
16,2024-01-03,RP100022,1,recipe,1,130,37.64,4.68,0.28,1 slice,3,U100010
17,2024-01-18,RP100004,1,recipe,11,89,18.93,34.64,20.68,1 medium,111,U100072
18,2024-01-17,FI100047,1,food_item,11,273,31.05,12.86,46.85,1 slice,9,U100047
19,2024-01-10,RP100011,1,recipe,14,247,27.2,10.87,45.03,1 medium,260,U100083
20,2024-01-15,FI100034,1,food_item,2,127,47.99,0.5,36.02,1 slice,134,U100013
21,2024-01-10,RP100045,1,recipe,13,250,46.44,33.36,44.54,1 slice,240,U100072
22,2024-01-06,RP100001,1,recipe,3,80,43.64,44.09,0.91,gm,70,U100075
23,2024-01-13,FI100047,1,food_item,5,133,32.98,3.96,15.24,1 slice,178,U100088
24,2024-01-10,RP100012,1,recipe,15,282,41.65,23.51,26.74,gm,26,U100033
25,2024-01-11,RP100063,1,recipe,6,119,28.27,15.15,2.65,gm,69,U100001
26,2024-01-20,RP100000,1,recipe,2,83,36.09,15.0,9.53,ml,46,U100085
27,2024-01-19,FI100064,1,food_item,2,169,44.5,11.79,12.68,1 medium,279,U100024
28,2024-01-04,RP100051,1,recipe,2,168,46.74,7.3,14.43,1 slice,11,U100076
29,2024-01-04,FI100016,1,food_item,11,184,18.31,37.01,24.86,gm,154,U100022
30,2024-01-15,FI100064,1,food_item,10,192,22.62,24.62,14.55,gm,195,U100081
31,2024-01-14,FI100033,1,food_item,6,176,48.03,40.56,28.37,1 medium,261,U100020
32,2024-01-10,RP100066,1,recipe,5,286,35.4,33.71,40.73,ml,248,U100039
33,2024-01-08,FI100077,1,food_item,9,207,38.63,32.8,36.38,gm,81,U100063
34,2024-01-10,RP100003,1,recipe,2,240,31.78,9.14,25.93,1 medium,22,U100074
35,2024-01-13,RP100032,1,recipe,13,232,9.83,17.65,1.75,gm,25,U100078
36,2024-01-07,FI100055,1,food_item,15,199,0.11,30.66,9.79,ml,155,U100067
37,2024-01-12,RP100057,1,recipe,2,256,2.11,44.76,17.16,1 slice,22,U100019
38,2024-01-06,FI100078,1,food_item,2,230,47.59,34.94,30.63,1 slice,170,U100044
39,2024-01-12,RP100097,1,recipe,6,199,40.66,15.81,12.49,1 medium,15,U100077
40,2024-01-20,FI100036,1,food_item,3,240,43.61,8.95,20.77,1 medium,145,U100009
41,2024-01-14,RP100096,1,recipe,2,267,15.11,16.03,22.37,1 slice,161,U100022
42,2024-01-02,FI100072,1,food_item,9,179,28.32,26.25,0.22,1 medium,270,U100017
43,2024-01-03,FI100018,1,food_item,5,169,23.94,39.63,46.81,ml,168,U100027
44,2024-01-11,FI100054,1,food_item,12,180,7.26,46.52,45.32,gm,110,U100074
45,2024-01-05,FI100066,1,food_item,14,92,2.68,4.99,46.86,1 slice,204,U100010
46,2024-01-20,RP100004,1,recipe,2,284,2.73,19.89,2.64,1 medium,26,U100008
47,2024-01-05,RP100034,1,recipe,3,113,18.29,45.93,43.38,1 medium,223,U100066
48,2024-01-10,FI100079,1,food_item,11,263,30.91,49.04,1.64,ml,261,U100008
49,2024-01-07,FI100054,1,food_item,5,92,1.18,32.48,40.48,gm,236,U100064
50,2024-01-07,FI100033,1,food_item,2,228,26.35,6.01,20.32,ml,160,U100054
51,2024-01-08,RP100013,1,recipe,2,148,43.34,8.68,34.38,gm,59,U100012
52,2024-01-13,FI100065,1,food_item,14,274,42.48,12.38,13.47,1 slice,233,U100053
53,2024-01-04,RP100027,1,recipe,11,95,14.36,15.45,3.35,ml,47,U100076
54,2024-01-11,FI100038,1,food_item,12,101,36.73,49.73,49.48,gm,243,U100010
55,2024-01-07,FI100051,1,food_item,1,216,37.14,5.4,37.14,ml,206,U100010
56,2024-01-17,FI100078,1,food_item,9,156,46.02,48.54,26.77,gm,118,U100058
57,2024-01-07,RP100045,1,recipe,8,89,23.96,1.49,32.28,1 slice,219,U100039
58,2024-01-01,RP100021,1,recipe,9,218,14.37,1.33,36.7,gm,219,U100075
59,2024-01-17,FI100056,1,food_item,8,98,42.53,33.81,32.11,1 medium,227,U100007
60,2024-01-03,RP100079,1,recipe,15,99,22.23,41.82,43.58,gm,149,U100082
61,2024-01-05,FI100062,1,food_item,14,131,31.37,40.78,36.34,ml,41,U100018
62,2024-01-07,FI100035,1,food_item,13,234,13.16,31.64,7.74,1 medium,146,U100003
63,2024-01-08,RP100071,1,recipe,9,117,2.11,36.85,36.51,gm,60,U100085
64,2024-01-11,FI100043,1,food_item,4,150,17.58,26.3,11.81,1 medium,281,U100063
65,2024-01-02,RP100047,1,recipe,15,294,25.02,37.41,13.45,ml,86,U100015
66,2024-01-02,FI100075,1,food_item,11,267,34.99,48.42,11.6,1 slice,159,U100011
67,2024-01-05,FI100047,1,food_item,15,288,30.61,37.82,47.99,1 slice,131,U100011
68,2024-01-19,RP100017,1,recipe,12,188,14.41,49.16,32.55,1 medium,74,U100032
69,2024-01-06,RP100028,1,recipe,13,134,42.79,7.61,4.62,ml,131,U100057
70,2024-01-16,FI100058,1,food_item,7,152,32.44,0.22,18.0,1 slice,177,U100005
71,2024-01-05,RP100027,1,recipe,1,143,19.78,49.39,26.15,ml,188,U100004
72,2024-01-01,FI100082,1,food_item,2,88,11.73,37.72,1.53,1 slice,265,U100038
73,2024-01-08,FI100081,1,food_item,7,202,42.31,36.25,43.25,1 medium,45,U100027
74,2024-01-03,RP100072,1,recipe,14,208,4.96,28.38,24.45,1 slice,162,U100016
75,2024-01-20,FI100068,1,food_item,2,275,31.86,14.71,44.31,gm,184,U100069
76,2024-01-14,FI100029,1,food_item,5,219,11.93,6.89,17.64,gm,9,U100057
77,2024-01-19,RP100043,1,recipe,13,295,44.19,26.49,14.67,ml,186,U100009
78,2024-01-03,FI100058,1,food_item,10,211,47.88,45.0,27.55,1 slice,251,U100042
79,2024-01-11,FI100054,1,food_item,13,128,6.11,2.03,47.62,ml,162,U100073
80,2024-01-03,RP100092,1,recipe,10,208,5.85,18.18,11.62,ml,115,U100069
81,2024-01-17,RP100024,1,recipe,8,169,34.81,26.57,42.08,1 medium,46,U100031
82,2024-01-18,RP100004,1,recipe,4,283,15.17,10.88,47.99,gm,266,U100041
83,2024-01-18,RP100000,1,recipe,12,282,23.9,49.14,26.0,ml,146,U100051
84,2024-01-05,FI100037,1,food_item,11,298,33.29,22.04,35.6,ml,96,U100017
85,2024-01-09,RP100082,1,recipe,1,231,3.02,37.87,47.72,ml,105,U100041
86,2024-01-19,FI100019,1,food_item,13,205,30.09,25.01,10.23,gm,248,U100043
87,2024-01-03,RP100017,1,recipe,5,230,11.88,30.19,13.52,1 slice,114,U100071
88,2024-01-10,RP100041,1,recipe,4,99,12.53,5.82,25.74,ml,230,U100032
89,2024-01-16,FI100020,1,food_item,9,167,42.07,21.01,27.55,gm,177,U100081
90,2024-01-13,FI100021,1,food_item,2,177,6.89,16.95,9.34,1 medium,262,U100070
91,2024-01-09,RP100047,1,recipe,14,290,33.78,10.26,28.22,gm,70,U100013
92,2024-01-15,RP100077,1,recipe,6,108,33.26,21.08,46.67,1 slice,291,U100066
93,2024-01-10,FI100029,1,food_item,10,255,9.81,17.7,10.21,1 medium,48,U100004
94,2024-01-19,RP100023,1,recipe,2,293,44.87,32.18,34.32,1 medium,182,U100017
95,2024-01-01,RP100063,1,recipe,15,243,49.23,10.45,9.81,1 slice,95,U100046
