,Unnamed: 0,recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit,recipe_weight,recipe_type_id,recipe_notes,prepare_time,description,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type
0,0,RP100000,Chicken Alfredo Pasta,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",7,110,ml,160,87,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,25.49,33.02,862,24.21,https://dummyimage.com/793x574,recipe
1,1,RP100001,Vegan Lentil Soup,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",5,130,gm,1000,145,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,189.09,60.72,700,21.99,https://picsum.photos/428/307,recipe
2,2,RP100002,Vegan Lentil Soup,Hearty vegan lentil soup packed with vegetables and aromatic spices.,10,110,ml,360,102,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,15 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",108.59,11.41,1172,33.66,https://dummyimage.com/831x924,recipe
3,3,RP100003,Margherita Pizza,Hearty vegan lentil soup packed with vegetables and aromatic spices.,3,130,gm,360,188,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",10 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,177.98,44.46,1264,45.0,https://placekitten.com/466/365,recipe
4,4,RP100004,Beef Tacos,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",2,160,gm,220,64,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",5 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",222.64,4.97,1383,34.8,https://picsum.photos/158/805,recipe
5,5,RP100005,Vegetarian Stir-Fry,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,9,130,gm,200,188,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,25 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",194.36,6.82,559,20.41,https://picsum.photos/288/372,recipe
6,6,RP100006,Chicken Alfredo Pasta,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",3,160,gm,840,112,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",30 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,247.81,44.93,1126,45.21,https://dummyimage.com/336x739,recipe
7,7,RP100007,Margherita Pizza,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,7,200,ml,640,20,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,10 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",126.72,70.32,1397,26.5,https://placekitten.com/184/64,recipe
8,8,RP100008,Vegan Lentil Soup,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,9,210,gm,160,15,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",30 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",208.65,37.02,678,32.67,https://picsum.photos/549/161,recipe
9,9,RP100009,Grilled Salmon with Lemon,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,3,150,gm,200,93,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,30 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",103.17,33.76,1280,36.85,https://placekitten.com/1017/910,recipe
10,10,RP100010,Grilled Salmon with Lemon,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,8,160,ml,840,38,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",30 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",257.1,72.07,601,25.46,https://picsum.photos/179/322,recipe
11,11,RP100011,Chicken Alfredo Pasta,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",7,210,gm,360,26,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,25 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",217.16,49.17,1136,25.42,https://picsum.photos/568/489,recipe
12,12,RP100012,Chicken Caesar Salad,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,1,210,ml,360,156,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",15 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,23.96,34.87,727,48.04,https://picsum.photos/429/352,recipe
13,13,RP100013,Chicken Caesar Salad,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,10,210,gm,200,130,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",30 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",208.03,77.72,379,15.29,https://picsum.photos/385/862,recipe
14,14,RP100014,Spaghetti Bolognese,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,3,110,gm,160,78,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",10 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,233.29,33.78,431,9.73,https://picsum.photos/932/28,recipe
15,15,RP100015,Shrimp Scampi,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,9,200,ml,360,42,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",25 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",134.02,9.86,1208,21.33,https://picsum.photos/53/807,recipe
16,16,RP100016,Beef Tacos,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",7,160,ml,840,115,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,30 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",14.83,45.67,1349,5.9,https://placekitten.com/181/409,recipe
17,17,RP100017,Grilled Salmon with Lemon,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",4,200,gm,220,161,Hearty vegan lentil soup packed with vegetables and aromatic spices.,25 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",244.3,32.93,531,42.56,https://dummyimage.com/104x655,recipe
18,18,RP100018,Beef Tacos,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,9,200,ml,1000,134,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",30 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",137.53,1.26,1022,15.57,https://dummyimage.com/727x109,recipe
19,19,RP100019,Beef Tacos,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",2,210,gm,1000,30,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,5 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",56.36,19.13,1482,40.67,https://placekitten.com/179/95,recipe
20,20,RP100020,Vegetarian Stir-Fry,Hearty vegan lentil soup packed with vegetables and aromatic spices.,7,200,ml,220,142,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,107.72,5.36,884,12.85,https://dummyimage.com/672x297,recipe
21,21,RP100021,Beef Tacos,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10,150,gm,360,145,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",5 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",177.9,15.76,782,3.21,https://picsum.photos/861/995,recipe
22,22,RP100022,Grilled Salmon with Lemon,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",8,220,ml,360,116,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,5 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,113.08,21.36,1282,39.79,https://picsum.photos/516/997,recipe
23,23,RP100023,Vegan Lentil Soup,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,2,150,ml,840,14,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",10 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",190.19,30.64,680,40.43,https://picsum.photos/417/107,recipe
24,24,RP100024,Shrimp Scampi,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,2,110,ml,200,18,Hearty vegan lentil soup packed with vegetables and aromatic spices.,25 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",72.56,62.69,950,28.35,https://dummyimage.com/626x980,recipe
25,25,RP100025,Chicken Caesar Salad,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,2,110,ml,200,49,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",15 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",103.87,66.39,546,9.32,https://placekitten.com/407/46,recipe
26,26,RP100026,Margherita Pizza,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,4,110,gm,640,35,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",5 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,81.55,47.28,1368,20.74,https://placekitten.com/484/655,recipe
27,27,RP100027,Chicken Caesar Salad,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",5,130,gm,360,53,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,15 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",162.33,65.5,594,24.82,https://picsum.photos/728/671,recipe
28,28,RP100028,Vegan Lentil Soup,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",9,200,gm,220,36,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",25 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",276.35,67.99,1129,0.52,https://picsum.photos/398/704,recipe
29,29,RP100029,Chicken Alfredo Pasta,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,9,200,gm,160,54,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",10 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",269.67,43.29,576,23.22,https://dummyimage.com/121x189,recipe
30,30,RP100030,Mushroom Risotto,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",10,150,gm,640,76,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",5 min,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,85.82,77.02,697,48.13,https://placekitten.com/220/633,recipe
31,31,RP100031,Mushroom Risotto,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,8,110,gm,840,46,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,15 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,217.38,43.59,394,37.29,https://dummyimage.com/228x228,recipe
32,32,RP100032,Vegan Lentil Soup,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",4,220,ml,200,45,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",5 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,135.24,61.5,882,35.62,https://dummyimage.com/113x912,recipe
33,33,RP100033,Margherita Pizza,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,9,210,gm,360,29,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,10 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",43.13,20.32,942,46.55,https://placekitten.com/612/831,recipe
34,34,RP100034,Margherita Pizza,Hearty vegan lentil soup packed with vegetables and aromatic spices.,3,130,gm,640,151,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",15 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,123.67,78.51,1148,23.46,https://picsum.photos/154/801,recipe
