substitute_id,user_id,food_log_id,food_item_id,food_time,as_ingradient,energy,carbohydrate,protein,lipid_fat,quantity,unit
SI100000,U100079,LI100000,FI100017,1270826222,No,219,29,18,6,130,ml
SI100001,U100079,LI100001,FI100031,499594063,Yes,154,20,26,8,160,ml
SI100002,U100044,LI100002,FI100051,269896340,No,187,34,46,9,130,ml
SI100003,U100057,LI100003,FI100059,2624502,No,206,19,46,6,220,ml
SI100004,U100061,LI100004,FI100028,538156434,No,208,43,15,5,150,ml
SI100005,U100022,LI100005,FI100058,1299301079,Yes,196,40,13,8,160,ml
SI100006,U100015,LI100006,FI100037,1419934270,Yes,242,31,10,8,210,ml
SI100007,U100051,LI100007,FI100074,1483468461,No,196,50,38,10,150,gm
SI100008,U100052,LI100008,FI100071,1002317585,No,177,32,31,10,220,gm
SI100009,U100001,LI100009,FI100025,894993068,Yes,166,16,17,9,150,gm
SI100010,U100056,LI100010,FI100031,1537491263,Yes,225,18,26,6,210,gm
SI100011,U100049,LI100011,FI100059,880768990,No,191,48,28,8,130,ml
SI100012,U100005,LI100012,FI100071,509729944,No,227,28,39,9,210,ml
SI100013,U100017,LI100013,FI100021,353278811,No,225,23,35,6,150,ml
SI100014,U100003,LI100014,FI100034,178817016,No,233,26,49,8,130,ml
SI100015,U100065,LI100015,FI100082,199099314,Yes,155,17,20,10,200,ml
SI100016,U100052,LI100016,FI100043,260359573,No,243,15,13,7,150,ml
SI100017,U100075,LI100017,FI100041,31555435,Yes,155,19,21,7,160,gm
SI100018,U100031,LI100018,FI100073,934849801,Yes,151,48,28,10,110,ml
SI100019,U100022,LI100019,FI100074,515786726,No,198,20,44,8,220,ml
SI100020,U100042,LI100020,FI100043,358775157,Yes,211,25,38,8,160,ml
SI100021,U100065,LI100021,FI100054,934681840,No,204,33,27,10,220,gm
SI100022,U100023,LI100022,FI100064,379314076,No,157,31,23,8,200,gm
SI100023,U100038,LI100023,FI100028,260326222,Yes,215,30,12,9,200,gm
SI100024,U100029,LI100024,FI100054,1352839245,Yes,152,12,46,6,220,ml
SI100025,U100041,LI100025,FI100026,565554132,No,222,26,49,8,210,gm
SI100026,U100020,LI100026,FI100041,434944280,No,239,18,18,9,220,gm
SI100027,U100081,LI100027,FI100070,1135986529,Yes,219,30,13,9,200,ml
SI100028,U100022,LI100028,FI100039,306280144,No,167,49,30,8,220,gm
SI100029,U100059,LI100029,FI100068,1338805298,Yes,212,38,13,6,110,gm
SI100030,U100009,LI100030,FI100068,1538626290,No,203,38,35,6,110,ml
SI100031,U100085,LI100031,FI100025,310542133,No,194,45,11,5,210,ml
SI100032,U100042,LI100032,FI100033,1395722403,Yes,208,39,26,9,160,gm
SI100033,U100019,LI100033,FI100027,567143697,No,205,13,19,5,150,gm
SI100034,U100088,LI100034,FI100052,949686257,Yes,226,26,40,8,150,ml
SI100035,U100039,LI100035,FI100055,898288007,No,191,48,27,5,210,ml
SI100036,U100027,LI100036,FI100017,364379318,Yes,244,15,32,5,150,ml
SI100037,U100020,LI100037,FI100068,1099346731,No,195,23,24,7,200,gm
SI100038,U100056,LI100038,FI100059,981971663,Yes,174,20,42,9,160,gm
SI100039,U100054,LI100039,FI100076,1022652388,Yes,243,46,25,5,150,gm
SI100040,U100054,LI100040,FI100081,296512882,No,150,24,43,6,200,gm
SI100041,U100065,LI100041,FI100054,1663486276,Yes,199,43,19,7,130,ml
SI100042,U100055,LI100042,FI100021,298597433,No,192,22,42,8,220,gm
SI100043,U100079,LI100043,FI100065,1309626485,No,174,26,33,7,200,gm
SI100044,U100069,LI100044,FI100026,1002114334,No,153,38,21,7,200,gm
SI100045,U100020,LI100045,FI100050,1372913332,Yes,226,49,42,10,210,ml
SI100046,U100007,LI100046,FI100024,459571106,No,234,19,35,6,210,ml
SI100047,U100078,LI100047,FI100051,836469176,No,243,42,44,5,210,gm
SI100048,U100005,LI100048,FI100046,253064273,Yes,198,42,11,7,200,gm
SI100049,U100077,LI100049,FI100044,976053438,Yes,219,16,18,10,130,ml
SI100050,U100045,LI100050,FI100033,401740694,No,207,13,31,8,150,ml
SI100051,U100066,LI100051,FI100076,1557126205,Yes,204,10,36,7,220,ml
SI100052,U100053,LI100052,FI100030,1088337293,Yes,225,31,12,5,110,ml
SI100053,U100059,LI100053,FI100057,61988680,Yes,218,22,12,10,150,ml
SI100054,U100028,LI100054,FI100035,1188223995,No,208,46,22,6,130,gm
SI100055,U100014,LI100055,FI100032,238564290,No,228,40,12,10,160,gm
SI100056,U100076,LI100056,FI100044,1496002989,Yes,157,25,22,10,130,gm
SI100057,U100005,LI100057,FI100015,1260017747,Yes,227,29,21,8,150,gm
SI100058,U100041,LI100058,FI100068,432502281,Yes,221,36,18,6,220,ml
SI100059,U100043,LI100059,FI100032,2438413,No,217,36,40,9,200,gm
SI100060,U100007,LI100060,FI100082,1654114007,No,211,14,43,7,210,gm
SI100061,U100051,LI100061,FI100018,706351975,Yes,163,41,11,10,220,ml
SI100062,U100037,LI100062,FI100029,1109063832,Yes,159,33,46,9,210,ml
SI100063,U100000,LI100063,FI100064,130415595,No,158,26,48,5,220,gm
SI100064,U100043,LI100064,FI100026,1343706084,No,242,42,11,6,160,ml
SI100065,U100012,LI100065,FI100045,1182778229,Yes,227,27,16,5,130,gm
SI100066,U100061,LI100066,FI100025,273389513,No,222,11,47,9,200,gm
SI100067,U100046,LI100067,FI100019,168706123,No,187,11,25,5,220,gm
SI100068,U100043,LI100068,FI100082,1234807021,No,187,45,23,9,220,ml
SI100069,U100026,LI100069,FI100079,460241968,No,188,48,48,6,110,gm
SI100070,U100075,LI100070,FI100069,309521310,Yes,172,12,31,7,130,gm
SI100071,U100075,LI100071,FI100049,1167479334,Yes,239,48,13,8,150,ml
SI100072,U100032,LI100072,FI100034,63295433,Yes,230,35,44,5,150,ml
SI100073,U100062,LI100073,FI100064,1644330216,No,229,26,27,6,130,gm
SI100074,U100013,LI100074,FI100052,610891180,Yes,216,30,37,8,130,gm
SI100075,U100086,LI100075,FI100065,455429699,Yes,184,19,37,7,110,gm
SI100076,U100034,LI100076,FI100081,77441723,No,151,23,41,9,200,gm
SI100077,U100051,LI100077,FI100062,615789936,Yes,212,17,43,7,130,gm
SI100078,U100062,LI100078,FI100018,794840159,Yes,209,22,36,8,220,ml
SI100079,U100003,LI100079,FI100042,1702699454,Yes,159,21,40,10,210,gm
SI100080,U100086,LI100080,FI100082,557014613,Yes,198,16,19,6,160,gm
SI100081,U100038,LI100081,FI100043,660832247,No,203,25,29,7,160,ml
SI100082,U100067,LI100082,FI100023,105663625,Yes,233,22,44,6,150,gm
SI100083,U100026,LI100083,FI100040,1224580753,Yes,168,45,40,5,220,ml
SI100084,U100017,LI100084,FI100037,675435923,No,250,24,48,6,130,gm
SI100085,U100032,LI100085,FI100018,41602894,Yes,236,37,26,9,110,ml
SI100086,U100021,LI100086,FI100070,789819270,No,213,38,17,7,130,gm
SI100087,U100004,LI100087,FI100073,359586802,Yes,169,47,44,6,160,ml
SI100088,U100064,LI100088,FI100057,363457102,No,171,33,33,7,220,ml
SI100089,U100002,LI100089,FI100082,1647423196,No,191,40,13,7,130,ml
SI100090,U100027,LI100090,FI100024,639725966,No,232,30,19,9,210,gm
SI100091,U100004,LI100091,FI100040,1506565976,Yes,177,35,26,10,130,ml
SI100092,U100083,LI100092,FI100058,1277987845,Yes,193,33,36,8,200,ml
SI100093,U100079,LI100093,FI100052,1693015994,No,228,37,11,5,220,ml
SI100094,U100021,LI100094,FI100023,519647853,No,238,34,27,10,160,ml
SI100095,U100072,LI100095,FI100029,1408274320,No,230,14,34,10,110,ml
