substitute_id,user_id,food_log_id,food_item_id,food_time,as_ingradient,energy,carbohydrate,protein,lipid_fat,quantity,unit
SI100000,U100019,LI100000,FI100044,134610714,Yes,211,25,48,8,200,ml
SI100001,U100079,LI100001,FI10002,830993233,Yes,238,29,12,10,200,ml
SI100002,U100030,LI100002,FI100025,757259078,Yes,243,28,21,8,130,gm
SI100003,U100024,LI100003,FI100051,1478990705,No,193,17,49,9,160,gm
SI100004,U100019,LI100004,FI100030,190691744,No,150,18,31,5,200,gm
SI100005,U100050,LI100005,FI100029,599328471,No,159,10,23,10,110,ml
SI100006,U100064,LI100006,FI100070,106948383,No,179,26,43,8,200,gm
SI100007,U100060,LI100007,FI100044,74612421,Yes,161,50,41,9,160,gm
SI100008,U100082,LI100008,FI100069,1333881064,Yes,173,33,11,7,130,ml
SI100009,U100084,LI100009,FI100069,300698971,Yes,161,14,18,9,210,gm
SI100010,U100015,LI100010,FI100062,119561448,No,172,25,50,9,160,ml
SI100011,U100080,LI100011,FI100032,941297742,Yes,242,22,10,7,150,gm
SI100012,U100078,LI100012,FI100056,1317554132,No,228,18,16,8,110,gm
SI100013,U100085,LI100013,FI100081,1559139712,No,180,18,22,9,200,gm
SI100014,U100053,LI100014,FI100044,1632052567,No,189,21,47,10,130,gm
SI100015,U100034,LI100015,FI100073,956868744,No,160,29,20,10,130,gm
SI100016,U100024,LI100016,FI100075,817303121,Yes,189,16,46,10,160,gm
SI100017,U100040,LI100017,FI100051,677771475,Yes,228,20,12,10,200,ml
SI100018,U100072,LI100018,FI100046,1099855183,Yes,227,12,47,10,200,gm
SI100019,U100084,LI100019,FI100072,1149258775,Yes,207,18,38,5,210,gm
SI100020,U100010,LI100020,FI100065,102562632,Yes,217,33,41,8,210,ml
SI100021,U100058,LI100021,FI100080,977939127,Yes,193,49,36,8,200,ml
SI100022,U100008,LI100022,FI100057,692022543,Yes,193,31,10,9,200,ml
SI100023,U100009,LI100023,FI100028,1515598166,Yes,231,28,35,7,110,gm
SI100024,U100018,LI100024,FI100033,1452321872,Yes,235,28,15,7,160,ml
SI100025,U100015,LI100025,FI100033,1702459196,No,157,12,27,6,200,gm
SI100026,U100001,LI100026,FI100045,1382017371,Yes,203,22,26,9,110,gm
SI100027,U100036,LI100027,FI100026,1650503172,Yes,189,31,40,9,150,gm
SI100028,U100059,LI100028,FI100076,259491244,Yes,237,21,12,7,130,gm
SI100029,U100034,LI100029,FI100061,250837998,No,235,24,28,5,130,gm
SI100030,U100080,LI100030,FI100034,1231754078,No,162,31,28,7,200,ml
SI100031,U100058,LI100031,FI100071,822805414,No,189,33,23,10,220,ml
SI100032,U100068,LI100032,FI100083,789967531,Yes,180,21,10,5,200,ml
SI100033,U100080,LI100033,FI100071,1667087046,Yes,200,48,14,5,210,gm
SI100034,U100026,LI100034,FI100028,1589986832,Yes,189,44,16,7,110,gm
SI100035,U100040,LI100035,FI100045,187552797,No,187,41,47,7,160,ml
SI100036,U100014,LI100036,FI100075,1278800687,Yes,236,16,19,5,160,gm
SI100037,U100067,LI100037,FI100043,698978115,Yes,210,17,26,5,160,ml
SI100038,U100042,LI100038,FI100028,352434983,No,242,33,22,8,110,ml
SI100039,U100073,LI100039,FI100050,992000630,No,166,36,48,6,220,ml
SI100040,U100030,LI100040,FI100015,279619733,Yes,172,14,12,5,210,gm
SI100041,U100036,LI100041,FI100076,720077183,Yes,150,46,16,8,200,gm
SI100042,U100078,LI100042,FI100026,1398411743,No,190,11,45,8,220,gm
SI100043,U100059,LI100043,FI100079,1214012246,Yes,202,40,30,10,200,gm
SI100044,U100031,LI100044,FI100082,313380722,No,212,48,35,10,220,gm
SI100045,U100011,LI100045,FI100059,236175265,No,246,19,29,5,150,ml
SI100046,U100040,LI100046,FI100044,536595257,No,166,46,13,7,200,gm
SI100047,U100022,LI100047,FI100072,1465125481,Yes,190,34,31,8,110,ml
SI100048,U100057,LI100048,FI100058,1143530668,Yes,242,27,23,7,210,ml
SI100049,U100074,LI100049,FI100032,1273940947,Yes,198,45,19,8,160,gm
SI100050,U100066,LI100050,FI100064,1523061477,Yes,171,20,43,9,200,ml
SI100051,U100043,LI100051,FI100018,64004312,Yes,201,19,26,7,150,gm
SI100052,U100043,LI100052,FI100023,199324956,Yes,214,23,21,5,160,gm
SI100053,U100070,LI100053,FI100037,160296359,No,192,24,31,10,160,gm
SI100054,U100035,LI100054,FI100026,1559847814,Yes,179,14,13,7,110,ml
SI100055,U100084,LI100055,FI100062,818224747,No,158,32,23,5,150,gm
SI100056,U100083,LI100056,FI100019,767991295,Yes,236,47,24,7,130,ml
SI100057,U100036,LI100057,FI100058,782384348,Yes,232,47,13,8,200,gm
SI100058,U100066,LI100058,FI100047,1669832470,No,223,28,39,9,150,ml
SI100059,U100003,LI100059,FI100061,295745409,Yes,195,35,11,10,200,gm
SI100060,U100071,LI100060,FI100059,712095740,No,231,38,33,6,220,gm
SI100061,U100077,LI100061,FI100068,90440871,Yes,177,32,49,5,200,gm
SI100062,U100014,LI100062,FI100059,209212538,Yes,176,37,30,7,200,gm
SI100063,U100025,LI100063,FI100048,1348453260,No,171,47,12,10,110,gm
SI100064,U100058,LI100064,FI100055,398405190,Yes,153,47,12,5,110,ml
SI100065,U100048,LI100065,FI100077,1295973858,Yes,193,43,41,8,160,gm
SI100066,U100069,LI100066,FI100031,888142280,No,243,23,17,6,150,ml
SI100067,U100078,LI100067,FI100033,21712675,No,216,49,29,9,150,gm
SI100068,U100023,LI100068,FI100049,1399776227,No,226,26,24,10,200,gm
SI100069,U100088,LI100069,FI100037,184591621,No,209,46,22,6,200,ml
SI100070,U100048,LI100070,FI100018,216833894,No,178,36,17,6,220,gm
SI100071,U100047,LI100071,FI100083,359672373,Yes,201,32,43,8,160,ml
SI100072,U100079,LI100072,FI100050,461909137,Yes,243,18,33,5,130,gm
SI100073,U100008,LI100073,FI100041,955277016,Yes,175,23,26,8,210,gm
SI100074,U100037,LI100074,FI100077,1466612569,Yes,203,32,23,10,110,ml
SI100075,U100046,LI100075,FI100069,998980942,Yes,249,11,34,5,110,gm
SI100076,U100037,LI100076,FI100058,856593078,No,235,17,22,8,110,gm
SI100077,U100018,LI100077,FI100031,1221997464,No,236,47,30,10,110,ml
SI100078,U100032,LI100078,FI100078,1698760780,Yes,235,14,41,8,160,ml
SI100079,U100011,LI100079,FI100053,1187243401,Yes,167,38,10,9,110,gm
SI100080,U100078,LI100080,FI100062,1498926798,Yes,206,46,23,8,200,ml
SI100081,U100036,LI100081,FI100075,797872947,Yes,218,39,38,6,210,ml
SI100082,U100035,LI100082,FI100072,701952845,Yes,186,10,41,10,150,ml
SI100083,U100058,LI100083,FI100020,715764650,No,230,11,18,7,160,gm
SI100084,U100025,LI100084,FI100040,24849020,No,168,13,41,9,160,ml
SI100085,U100066,LI100085,FI100034,289377472,No,168,20,17,10,160,ml
SI100086,U100077,LI100086,FI100083,1351665029,Yes,190,41,18,5,160,ml
SI100087,U100076,LI100087,FI100030,313424315,Yes,212,20,50,7,200,gm
SI100088,U100069,LI100088,FI100026,60945887,No,156,17,17,5,110,ml
SI100089,U100073,LI100089,FI100062,914981870,Yes,183,30,25,5,130,ml
SI100090,U100001,LI100090,FI100067,401900966,Yes,174,17,28,8,160,ml
SI100091,U100019,LI100091,FI100077,259781405,Yes,202,50,11,10,130,gm
SI100092,U100007,LI100092,FI100047,1105375776,Yes,241,44,50,8,220,ml
SI100093,U100013,LI100093,FI100017,1175750699,Yes,190,14,12,9,160,gm
SI100094,U100060,LI100094,FI100074,1044701066,No,249,41,19,7,220,ml
SI100095,U100058,LI100095,FI100038,756193841,Yes,150,36,21,8,110,ml
SI100096,U100025,LI100096,FI100072,60564785,Yes,181,16,29,5,200,ml
SI100097,U100082,LI100097,FI100051,807702550,No,219,14,43,5,150,ml
SI100098,U100049,LI100098,FI100031,1249514598,No,213,42,34,7,200,ml
SI100099,U100080,LI100099,FI100060,623070019,No,236,22,12,5,210,gm
